Close,High,Low,Open,Volume,target
160.47,160.87,159.23,159.78,18816438,0
159.76,160.71,159.6,160.42,16158659,0
155.98,157.08,155.02,156.75,42111326,0
156.25,157.75,155.96,156.61,23612246,0
156.17,157.69,155.5,156.89,21654461,0
157.1,157.42,156.2,156.29,17137731,0
156.41,157.55,155.27,156.91,20126554,0
157.41,157.8295,156.78,157.23,16751691,0
163.05,163.6,158.7,159.29,43904150,0
166.72,168.07,163.72,163.89,43923292,0
169.04,169.6499,166.94,167.9,35474672,0
166.89,169.94,165.61,169.87,33100847,0
168.11,168.5,165.28,167.64,32710040,0
172.5,174.26,171.12,174,58683826,1
174.25,174.99,171.72,172.365,34242566,0
174.81,175.25,173.6,173.91,23910914,0
176.24,176.24,174.33,174.66,23907639,0
175.88,176.095,173.14,175.11,28636531,0
174.67,175.38,174.27,175.11,25061183,0
173.97,174.5,173.4,173.5,16828025,0
171.34,173.48,171.18,173.04,23588451,0
169.08,170.3197,168.38,169.97,28702351,0
171.1,171.87,170.3,171.18,23497326,0
170.15,171.39,169.64,171.04,21665811,0
169.98,170.56,169.56,170.29,15974387,0
173.14,173.7,170.78,170.78,24875471,0
174.96,175,173.05,173.36,24997274,0
174.97,175.5,174.6459,175.1,14026519,0
174.09,175.08,173.34,175.05,20536313,0
173.07,174.87,171.86,174.3,25468442,0
169.48,172.92,167.16,172.63,40788324,0
171.85,172.14,168.44,170.43,40172368,0
171.05,171.67,168.5,169.95,39590080,0
169.8,172.62,169.63,172.48,32115052,0
169.64,171.52,168.4,169.06,27008428,0
169.01,170.2047,166.46,167.5,28224357,0
169.32,170.44,168.91,169.03,24469613,0
169.37,171,168.82,170.49,23096872,0
172.67,172.89,168.79,169.2,33092051,0
171.7,172.39,171.461,172.15,18945457,0
172.27,173.54,172,172.5,23142242,0
172.22,173.13,171.65,172.4,20219307,0
173.97,174.17,172.46,173.63,37054632,0
176.42,177.2,174.86,174.88,28831533,0
174.54,175.39,174.09,175.03,27078872,0
174.35,175.42,173.25,174.87,23000392,0
175.01,176.02,174.1,174.17,20356826,0
175.01,175.42,174.5,174.68,16052615,0
170.57,171.47,169.68,170.8,32968167,0
170.6,170.78,169.71,170.1,21672062,0
171.08,171.85,170.48,171,15997739,0
169.23,170.59,169.22,170.52,25643711,0
172.26,172.3,169.26,170.16,25048048,0
172.23,174.55,171.96,172.53,28819653,0
173.03,173.47,172.08,172.54,22211345,0
175,175.37,173.05,173.44,23016177,0
174.35,175.61,173.93,174.35,20134092,0
174.33,175.06,173.41,174.55,21262614,0
174.29,174.3,173,173.16,23589129,0
175.28,175.49,174.49,174.59,17523256,0
177.09,177.36,175.65,176.18,25039531,0
176.19,179.39,176.14,177.9,29159005,0
179.1,179.25,175.07,176.15,32752734,0
179.26,180.1,178.25,179.37,30234512,0
178.46,179.58,177.41,178.61,30827809,0
177,177.78,176.6,177.3,26023683,0
177.04,179.44,176.82,177.3,31702531,0
174.22,177.3,173.2,177.25,50562257,1
171.11,174.95,170.53,174.51,39661804,0
171.51,172,170.06,172,37121805,0
167.96,170.16,167.07,170.16,48434424,1
166.97,167.37,164.7,165.53,45137026,0
167.43,168.44,166.5,166.87,30984099,0
167.78,168.62,166.76,167.17,38099665,0
160.5,166.8,160.1,166,85436075,1
156.49,163.88,156,159.1,66090446,1
163.03,163.72,154,154.83,66625484,1
159.54,163.4,159.07,163.09,50852130,1
155.15,161,155.03,160.29,49594129,1
156.41,157.89,150.24,157.07,66723743,1
162.71,163.89,157.51,158.5,60560145,1
164.34,164.75,161.65,161.95,32104756,0
167.37,167.54,162.88,163.04,39669178,0
172.99,173.09,169,169.79,50609595,1
172.43,174.82,171.77,172.36,39638793,0
171.85,174.26,171.42,172.05,33531012,0
171.07,174.12,171.01,172.83,35833514,0
172.5,173.95,171.71,171.8,30504116,0
175.5,175.65,173.54,173.67,33329232,0
178.97,179.39,176.21,176.35,36886432,0
178.39,180.48,178.16,179.1,38685165,0
178.12,180.62,178.05,179.26,33604574,0
175,179.78,172.66,178.54,48801970,1
176.21,176.3,172.45,172.8,38453950,0
176.82,177.74,174.52,175.21,28401366,0
176.67,178.25,176.13,177.91,23788506,0
175.03,175.85,174.27,174.94,31703462,0
176.94,177.12,175.07,175.48,23163767,0
179.98,180,177.39,177.96,31385134,0
181.72,182.39,180.21,180.29,32055405,0
179.97,183.5,179.24,182.59,31168404,0
178.44,180.52,177.81,180.32,29075469,0
178.65,180.24,178.07,178.5,22584565,0
178.02,179.12,177.62,178.65,36836456,0
175.3,177.47,173.66,177.32,32804695,0
175.24,176.8,174.94,175.24,19314039,0
171.27,175.09,171.26,175.04,35247358,0
168.85,172.68,168.6,170,41051076,0
164.94,169.92,164.94,168.39,40248954,0
172.77,173.1,166.44,168.07,36272617,0
168.34,175.15,166.92,173.68,38962839,0
166.48,170.02,165.19,167.25,41668545,0
167.78,171.75,166.9,167.81,38398505,0
166.68,168.94,164.47,166.64,37586791,0
168.39,168.75,164.88,167.64,30278046,0
171.61,172.01,164.77,164.88,34605489,0
172.8,174.23,172.08,172.58,26933197,0
168.38,172.48,168.2,170.97,35005290,0
170.05,173.09,169.85,169.88,29017718,0
173.25,174,171.53,173,28614241,0
172.44,173.92,171.7,172.23,22431640,0
174.14,175,173.04,173.41,22889285,0
174.73,175.84,173.85,174.78,25124255,0
175.82,176.19,174.83,175.03,21578420,0
178.24,178.94,176.41,176.49,26605442,0
177.84,178.82,176.88,177.81,20754538,0
172.8,175.39,172.66,173.76,34808800,0
165.72,171.22,165.43,170.6,65491140,1
165.24,166.92,164.09,166.83,36515477,0
162.94,166.33,161.22,165.67,33692017,0
163.65,165.42,162.41,162.62,28382084,0
164.22,165.73,163.37,164.12,27963014,0
162.32,164.33,160.63,164,35655839,0
165.26,167.26,161.84,162.13,42427424,0
169.1,169.2,165.27,166.41,53569376,1
176.57,177.75,173.8,175.23,66539371,1
176.89,177.5,174.44,175.88,34068180,0
183.83,184.25,178.17,178.25,56201317,1
185.16,187.67,184.75,185.18,42451423,0
186.05,186.22,183.67,184.99,28402777,0
187.36,187.4,185.22,186.55,23211241,0
190.04,190.37,187.65,187.74,27989289,0
188.59,190.06,187.45,189.49,26212221,0
188.15,189.53,187.86,189.01,20778772,0
186.44,187.07,185.1,186.78,23695159,0
188.18,188.46,186,186.07,19183064,0
186.99,188.91,186.36,188,17294029,0
186.31,187.81,186.13,187.19,18297728,0
187.63,189.27,186.91,188,18400787,0
187.16,188.88,186.78,188.38,15240704,0
188.36,188.5,185.76,186.35,20058415,0
188.15,188.84,186.21,188.77,23233975,0
188.58,189.65,187.65,188.23,17460963,0
187.9,188.75,186.87,187.6,22514075,0
187.5,188,186.78,187.72,18690547,0
186.87,188.23,186.14,187.22,27482793,0
190.24,190.26,187.75,187.99,23442510,0
191.83,193.42,191.35,191.64,26266174,0
193.31,193.94,192.36,193.07,21565963,0
193.98,194.08,191.92,193.63,20933619,0
193.46,194.2,192.34,194.14,21347180,0
191.7,192,189.77,191.17,26656799,0
191.23,191.97,190.21,191.35,18308460,0
192.28,192.61,191.15,191.39,16911141,0
190.7,192.88,190.44,192.42,21638393,0
190.8,191.57,190.22,191.55,21610074,0
188.84,190.16,188.26,190.03,61719160,1
188.74,189.22,187.2,187.88,18484865,0
185.69,186.33,183.45,185.14,33578455,0
186.5,187.2,185.73,186.35,20628701,0
185.46,188.35,184.94,187.25,25711898,0
184.92,186.15,184.7,186.12,27200447,0
182.17,184.92,180.73,183.4,31663096,0
184.43,186.53,182.54,182.99,24569201,0
184.16,187.28,184.03,185.23,25285328,0
185.5,186.21,183.8,184.1,17365235,0
185.11,187.19,182.91,186.29,22737666,0
187.18,187.3,183.42,183.82,17731343,0
183.92,187.95,183.54,187.79,13954806,0
185.4,186.41,184.28,185.26,16604248,0
187.97,188.43,185.2,185.42,17485245,0
190.58,190.68,189.3,189.5,19756634,0
190.35,191.28,190.18,190.71,15939149,0
187.88,189.78,187.61,188.5,18831470,0
191.03,191.41,189.31,189.53,18041131,0
191.33,191.84,190.9,191.08,12519792,0
190.91,192.65,190.42,191.52,15043110,0
191.45,191.87,189.2,189.75,15534523,0
190.4,191.8,189.93,191.78,16393381,0
191.88,192.55,189.69,189.69,20286752,0
191.44,192.43,190.17,191.78,20706042,0
191.61,191.96,189.56,190.68,15989365,0
193,193.66,192.05,192.45,18697898,0
194.82,194.85,192.43,193.06,16826483,0
194.21,195.96,193.61,194.61,19075964,0
190.98,195.19,190.1,194.99,24023972,0
189.91,192.2,189.07,191.9,21029535,0
